name,SAFE total score,number of enriched nodes,number of enriched samples,SAFE enriched score,enriched abundance ratio,enriched SAFE score ratio,Category
Working_start_age:nan,18.004308685272264,61,102,11.088143722457856,0.6666666666666666,0.6158605651728293,Lifestyle
Soy_products_.average_past_week.option,31.41645739451308,84,150,10.76620609242255,0.20498614958448755,0.3426931928455714,Anthropometric
A06AD15_65_.osmotic_laxatives.,17.48242199184339,65,105,10.402581260291184,0.25,0.5950308981870258,Health(Medication)
Bloating_.days_past_week.option,25.132224429570144,58,104,9.107300609185375,0.10393466963622866,0.36237542899186753,Anthropometric
G03AA12_.drospirenone_and_ethinylestradiol.,12.045900158349042,68,133,8.682357503861864,0.375,0.7207728264163058,Health(Medication)
A07EC02_.mesalazine.,20.486314126401524,71,158,8.514207076692767,0.35714285714285715,0.41560463361831257,Health(Medication)
Constipation_.days_past_week.option,40.70984962237499,68,109,7.534130673200938,0.11038961038961038,0.18506898804804284,Anthropometric
Childhood_residence_type:nan,20.06669295970049,63,113,6.6193002437355,0.2777777777777778,0.32986502843437626,Lifestyle
Shift_work:nan,34.72010679078619,62,167,5.4999153209232094,0.2857142857142857,0.15840721211095882,Lifestyle
N03AE01_.clonazepam.,11.198490944620719,43,88,4.599032036944359,0.2,0.4106831946989732,Health(Medication)
Chronic_fatigue_syndrome,27.31102909522524,32,55,4.576306320531487,0.13559322033898305,0.16756257351472553,Health
Alanine_transaminase_.ALT.,31.669342893411862,16,26,1.6530789864034103,0.03083329996396108,0.05219808292098471,BloodParameters
HOMA.IR,12.3969948048043,0,0,0.0,0.0,0.0,BloodParameters
G03DA04_.progesterone.,6.542922177002721,0,0,0.0,0.0,0.0,Health(Medication)
