name,SAFE total score,number of enriched nodes,number of enriched samples,SAFE enriched score,enriched abundance ratio,enriched SAFE score ratio,Category
Creatinine,64.197402861711,206,423,37.49637228008405,0.39374564179584814,0.5840792712573715,BloodParameters
Work_days_per_week,70.66947676152303,229,462,37.48309361427535,0.4233257229832572,0.5304000444316793,Lifestyle
Time_since_previous_relief.option,58.58747877187767,173,360,37.420839116634575,0.36167951102843476,0.638717348844115,Anthropometric
Shift_work:True,60.1787572178191,182,392,36.62275568904958,0.54,0.6085661682326249,Lifestyle
Smoking_with_inhalation:Not_relevant,66.75271491314138,217,444,35.73204130455823,0.44041450777202074,0.5352897084568434,Lifestyle
Breakfast_.N_past_week.,63.24723931624176,202,385,35.349665445171546,0.35867583111235796,0.5589123861742029,DietaryHabit
Bread_type_preference.option,67.25675597331677,150,275,34.17461004092397,0.26375805651958356,0.5081215938289129,Anthropometric
Smoking_with_inhalation:Ja,59.47364997070441,202,479,32.05317834311378,0.513953488372093,0.5389475567566908,Lifestyle
HDL_cholesterol,58.97580287864926,134,211,31.432161319408454,0.2050814405364834,0.5329670777705969,BloodParameters
J01CA04_.amoxicillin.,44.98963566158869,179,356,31.4053184174515,0.40764331210191085,0.698056740305296,Health(Medication)
Hip_circumference,44.94087104976022,111,195,30.833976254369105,0.18076378443008193,0.6861009930187728,Anthropometric
Sleep_.hours.day.,49.231123366322144,164,296,30.798874448237324,0.27443202307969705,0.6255976370692794,Lifestyle
Sick_leave_.freq._past_year.option,54.15183793406551,157,345,29.618782780146937,0.3580827067669173,0.5469580333766387,Anthropometric
Smoker,51.53553074459528,175,374,29.149912927115416,0.4411764705882353,0.5656274905090111,Lifestyle
Alpha.2.globulin,50.702880076631416,136,296,28.228279752775187,0.27324961244719986,0.5567391775400427,BloodParameters
Fruits_.days_since_consumed.option,41.45650042489217,148,303,28.19258502792647,0.30162412993039445,0.6800522171186089,Anthropometric
Sick_leave_.freq._past_year.:nan,47.050216665374265,145,301,27.6940453425593,0.3021276595744681,0.5886061171518518,Lifestyle
Fruits_.freq._past_week.option,71.18349224589525,175,395,27.024627451365326,0.3732337505046427,0.37964739574748363,Anthropometric
Food_allergy,52.20081601091338,158,341,27.020297682922752,0.5357142857142857,0.5176221321381977,Health
Cigarettes_.average.day_past_3_months.,50.380120707970015,186,413,26.593839050687112,0.550259067357513,0.5278637422256123,Lifestyle
J01CR02_.amoxicillin_and_enzyme_inhibitor.,38.40625244789469,114,212,25.98685474039426,0.34523809523809523,0.6766308370141118,Health(Medication)
Irritable_bowel_syndrome,47.49297765227242,150,333,25.804699568101253,0.38197424892703863,0.5433371593803734,Health
Childhood_residence_type.option,55.48120122808146,180,421,25.63569638395509,0.39016949152542374,0.4620609470686756,Anthropometric
G03CA04_CC06_.estrogens.,31.57327596431905,133,274,25.39447672004157,0.6666666666666666,0.804302877811598,Health(Medication)
Creatine_kinase,43.57469210803245,121,276,25.110674428502925,0.26638162473898774,0.5762673977419587,BloodParameters
R06AX28_.rupatadine.,29.39797450557455,129,341,25.103053651301344,0.5,0.8539041914789475,Health(Medication)
J01XE01_.nitrofurantoin.,42.46585783389309,169,449,24.397573770149922,0.6842105263157895,0.574522098801866,Health(Medication)
Spirits_consumption.option,45.69880478701173,152,365,23.82818684193915,0.35608726249120337,0.5214181629693622,Anthropometric
Magnesium_supplement,37.05864830974334,143,328,23.323814316455977,0.5454545454545454,0.6293757430522299,DietaryHabit
Blood_urea,53.71754227251202,132,298,23.224380479130865,0.27705979789313084,0.4323425737036203,BloodParameters
Beta.globulin,46.29284813840997,131,265,22.755402181896113,0.24514712861888963,0.4915532981219957,BloodParameters
Working_hours_.hours.week.,50.66090408853344,118,232,21.724489566189604,0.21852035879599363,0.4288215924497627,Lifestyle
Chocolate_type_preference.option,56.23071554170898,142,284,21.68300977608477,0.2680914885639295,0.385607929175318,Anthropometric
Constipation_.days_past_week.option,50.6362761937307,155,279,21.38862588323292,0.2662337662337662,0.42239729085530686,Anthropometric
Gamma.glutamyltransferase,48.183417099509114,143,322,20.229880708739234,0.33373236115645516,0.41985151586406133,BloodParameters
L04AX01_.azathioprine.,26.147393812757024,125,288,20.227647169377608,0.5714285714285714,0.7736008917075614,Health(Medication)
Shift_work:nan,42.2437387651065,179,451,19.992868865034232,0.6349206349206349,0.4732741336225766,Lifestyle
Soy_products_.average_past_week.option,37.289753687268394,146,342,18.392573742937245,0.40166204986149584,0.49323398317905504,Anthropometric
Triglycerides,35.428385490535035,81,122,17.997759307327115,0.12703681620375726,0.5080039369035135,BloodParameters
Soda_.freq._past_week.option,38.522706180317456,128,312,17.786610508196883,0.31952662721893493,0.46171757573159955,Anthropometric
N06AX16_.venlafaxine.,26.843237889668107,106,230,17.28747233224468,0.5454545454545454,0.6440159120632233,Health(Medication)
Coffee_.days_since_consumed.option,29.438038682103826,74,121,15.835481089854031,0.13131900058105753,0.5379258197483396,Anthropometric
Childhood_residence_type:nan,25.61160916922804,101,166,15.595189898028433,0.3888888888888889,0.608910974510958,Lifestyle
A07EC02_.mesalazine.,24.321650088082123,101,202,14.660985918830631,0.35714285714285715,0.6027956929622418,Health(Medication)
Bloating_.days_past_week.option,30.35322938122543,91,206,14.529984300195263,0.19524870081662954,0.4786964878663812,Anthropometric
L04AB_.TNF.alpha_inhibitors.,17.780034204211937,77,121,13.362344533056465,0.375,0.7515364919765475,Health(Medication)
Ulcerative_colitis,18.27166910363404,57,107,12.605122189570613,0.3181818181818182,0.6898725079836078,Health
A06AD15_65_.osmotic_laxatives.,18.588988262982326,75,120,11.725268009622447,0.3333333333333333,0.6307641838136974,Health(Medication)
G03AA12_.drospirenone_and_ethinylestradiol.,14.295494426255221,68,133,11.587232891920449,0.375,0.8105513909780723,Health(Medication)
Q10_supplement,13.42288549127481,43,58,11.328370412921958,0.2857142857142857,0.8439594020440436,DietaryHabit
Working_start_age:nan,18.051168225073827,46,67,9.913514218568977,0.3333333333333333,0.5491896200268463,Lifestyle
Alanine_transaminase_.ALT.,38.81558471633696,55,94,7.59826684381162,0.09590357586193088,0.19575299198349091,BloodParameters
N03AE01_.clonazepam.,12.058942532372551,56,115,6.5777924764234195,0.2,0.5454700906621921,Health(Medication)
Chronic_fatigue_syndrome,31.757587995904593,34,57,6.457393011175147,0.13559322033898305,0.2033338618791793,Health
G03DA04_.progesterone.,9.795684830758866,59,154,5.842769288046617,0.3333333333333333,0.5964635846286187,Health(Medication)
HOMA.IR,16.801823177371304,6,8,2.7653855540701664,0.021899528430766018,0.16458842143956065,BloodParameters
